tick,self_model_accuracy,information_integration,counterfactual_sensitivity,agent_id,generation
100,0.6238927659328611,0.1143318671829995,0.43511122251178874,270,0
200,0.8110311174913136,0.2509985577448961,0.15059092047016046,327,0
300,0.8429729968556824,0.007854778096916802,0.558049835726254,596,1
400,0.8857443336363284,0.041515457979960556,0.5608266957059583,596,1
500,0.9102877106552659,0.06284696721219646,0.5211992632226827,596,1
600,0.8982249864244939,0.11374135510276978,0.014196556383412483,1375,1
700,0.9318028410995206,0.1385020903313373,0.4217701459975062,2187,2
800,0.944656450355316,0.03244221624823641,0.6500994020317188,596,1
900,0.9508577295439882,0.07582081854543461,0.5421524536170381,596,1
1000,0.955788688965262,0.08276297297029518,0.5722225926639107,596,1
1100,0.9597553758266822,0.13692278105080682,0.569003074389016,596,1
1200,0.9629927062368283,0.06720526407890624,0.4830406589138834,596,1
1300,0.965732774256463,0.05214641813666356,0.587920249269984,596,1
