tick,rank,agent_id,generation,rule,accuracy,tests
100,1,69,0,"IF C7>-0.28 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
100,2,158,0,"IF C5<-0.06 AND C0>-0.49 AND temp_comfort>-0.75 THEN SAFE [acc=1.00, n=10]",1.0,10
100,3,543,1,"IF C4<-0.17 THEN ENERGY_UP [acc=1.00, n=29]",1.0,29
100,4,586,1,"IF fear>0.49 AND curiosity<0.21 AND C3<0.61 AND hunger<0.41 THEN ENERGY_UP [acc=1.00, n=22]",1.0,22
100,5,655,1,"IF C5<0.73 THEN ENERGY_UP [acc=1.00, n=15]",1.0,15
100,6,667,1,"IF C8>-0.80 AND C7>0.31 THEN ENERGY_UP [acc=1.00, n=17]",1.0,17
100,7,701,1,"IF curiosity<0.20 AND C0>-0.77 AND C8<-0.12 THEN SAFE [acc=1.00, n=18]",1.0,18
100,8,745,1,"IF C6<-0.38 THEN ENERGY_UP [acc=1.00, n=32]",1.0,32
100,9,746,1,"IF curiosity<0.42 AND hunger>0.08 AND C5<0.63 THEN ENERGY_UP [acc=1.00, n=30]",1.0,30
100,10,752,1,"IF hunger>-0.05 AND C11>-0.16 AND C2<0.46 AND C11>0.13 THEN SAFE [acc=1.00, n=28]",1.0,28
100,11,766,1,"IF C11>0.03 AND C4<0.57 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
100,12,779,1,"IF temp_comfort>-0.06 THEN SAFE [acc=1.00, n=29]",1.0,29
100,13,817,1,"IF C5<0.29 THEN SAFE [acc=1.00, n=25]",1.0,25
100,14,822,1,"IF C0<-0.44 AND C5<-0.25 THEN ENERGY_UP [acc=1.00, n=25]",1.0,25
100,15,828,1,"IF C5<0.47 THEN ENERGY_UP [acc=1.00, n=24]",1.0,24
200,1,69,0,"IF C7>-0.28 THEN ENERGY_UP [acc=1.00, n=32]",1.0,32
200,2,82,0,"IF C8<0.71 AND C5<0.76 AND C9<0.01 THEN ENERGY_UP [acc=1.00, n=22]",1.0,22
200,3,371,0,"IF C8>-0.61 AND health<0.51 THEN ENERGY_UP [acc=1.00, n=51]",1.0,51
200,4,586,1,"IF fear>0.49 AND curiosity<0.21 AND C3<0.61 AND hunger<0.41 THEN ENERGY_UP [acc=1.00, n=63]",1.0,63
200,5,640,1,"IF C3>-0.64 THEN ENERGY_UP [acc=1.00, n=46]",1.0,46
200,6,655,1,"IF C5<0.73 THEN ENERGY_UP [acc=1.00, n=47]",1.0,47
200,7,655,1,"IF C5<0.77 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
200,8,666,1,"IF C1>-0.18 AND C10<0.08 THEN SAFE [acc=1.00, n=40]",1.0,40
200,9,672,1,"IF C2<0.60 AND C6<0.23 AND C5<-0.00 AND C6<0.55 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
200,10,672,1,"IF C2>0.18 AND health>0.66 AND C5<0.19 AND C6>-0.70 THEN SAFE [acc=1.00, n=11]",1.0,11
200,11,672,1,"IF C2<0.60 AND C6<0.52 AND C5<-0.03 AND C6<0.56 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
200,12,680,1,"IF C0>-0.17 AND C8<-0.27 THEN SAFE [acc=1.00, n=12]",1.0,12
200,13,697,1,"IF energy>0.58 THEN ENERGY_UP [acc=1.00, n=60]",1.0,60
200,14,697,1,"IF energy>0.42 THEN ENERGY_UP [acc=1.00, n=34]",1.0,34
200,15,697,1,"IF energy>0.58 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
