tick,count,mean_energy,mean_health,mean_age,max_age,max_generation,mean_children,diversity,mean_self_model_accuracy,mean_surprise,max_self_model_accuracy,season,light,mean_wm_accuracy,mean_think_steps,mean_bottleneck_size,agents_with_concept_rules,mean_concept_rule_accuracy,n_concept_rules,n_complex_rules,max_complexity,trades,combats,cooperations,teachings,imitations,total_teachings,total_imitations,struct_total,struct_built_ever,signals_sent,signals_heard,chem_total_substance_mass,chem_dominant_substance,chem_n_active_reactions,chem_n_medicine_recipes,terrain_mean_height,terrain_water_coverage,terrain_max_tectonic_stress,terrain_earthquake_active,eco_total_plant_biomass,eco_total_herbivores,eco_total_predators,eco_total_decomposers,eco_dead_matter,hidden_mean_radiation,hidden_max_radiation,hidden_mean_soil_ph,hidden_underground_total,hidden_magnetic_mean_strength,unique_signalers,mean_symbol_entropy,mean_survival_prob,mean_death_awareness,mean_thought_depth,total_vocab_used,dlang_tokens_sent,dlang_tokens_heard,dlang_unique_speakers,best_generation_ever,max_complexity_ever,births,deaths,total_resource,mean_social_need,mean_trust_state,mean_social_satisfaction,mean_inventory_fullness,mean_trust_score,inventory_trades,lineage_pools,lineage_rules_total,lineage_mean_accuracy,lineage_studies,mean_grief,total_bonds,total_debts,disaster_earthquake_max,disaster_flood_max,disaster_drought_severity,disaster_plague_max,disaster_active_floods,disaster_drought_active
0,500,0.5767860217191824,0.9976016661010151,1.0,1,0,0.0,20.87129938776069,0.007621878362539929,0.9861156966843648,0.00961248253239917,0.0,1.0,0.0,1.988,14.168,0,0.0,0,0,1,4,19,22,0,0,0,0,4,4,355,0,39199.0703125,2,85,2,0.4983064830303192,0.0,0.0059983329847455025,0.0,9268.958984375,608.1514892578125,51.99869918823242,2600.468505859375,0.12768106162548065,0.017667822539806366,0.891078531742096,0.5001029372215271,4023.892333984375,0.3314719498157501,355,0.9092210748819414,0.49698505518343683,0.0,0.0,395,395,0,258,0,1,0,0,81235.4765625,0.09640606541794636,0.5000512342209043,7.530880141886908e-06,0.1723333333333332,0.4993520926921278,0,0,0,0.0,0,0.0,10,10,0.0,0.0,0.0,0.0,0,False
100,598,0.5123125014313162,0.901115542055076,34.94481605351171,101,2,1.1070234113712374,20.493239819340307,0.2365356956743787,0.3425380156672096,0.6347573739193921,0.1,1.0,0.22135824529285825,2.080267558528428,13.700668896321071,432,0.2593408209759087,921,6,5,354,115,753,67,5,281,19,392,392,20542,88821,37681.58984375,2,85,2,0.4983064830303192,0.0,0.01766808331012726,0.0,8686.6806640625,582.3211669921875,49.45648956298828,2399.8955078125,112.6629638671875,0.017623689025640488,0.8880394697189331,0.5001476407051086,4023.892333984375,0.3314719498157501,413,1.5105795599655047,0.6668861614326296,0.11131354181968693,0.0,1302,25748,15745,321,2,5,695,597,119922.8515625,0.4271984668277009,0.627413710427109,0.08922705334744262,0.8288740245261983,0.5223296742182494,16,42,126,0.8862957643987005,54,0.007233171461454199,1186,1027,0.0,0.0,0.0,0.0,1,False
200,1994,0.636929011593247,0.7236267034536991,78.53159478435306,201,3,7.47592778335005,22.838198226624872,0.4639173783804187,0.24070012054416898,0.8161955487569618,0.2,1.0,0.4662254202075056,2.047642928786359,13.815947843530592,1763,0.2427531836081863,4786,207,6,861,343,2133,279,26,4998,363,2316,2316,94887,1659550,32143.927734375,2,85,2,0.4983064830303192,0.0,0.029293242841959,0.0,7552.1923828125,550.8523559570312,47.03857421875,2215.032958984375,266.73150634765625,0.017579667270183563,0.8850115537643433,0.5000477433204651,4023.892333984375,0.3314719498157501,1339,1.5460092697955168,0.6908739364959391,0.1977244854678616,0.0,5826,122658,154757,1054,3,6,2360,964,160574.3125,0.5547044434698039,0.8125740823382132,0.30540288700257506,0.9767636242059512,0.5518993314923291,136,84,559,0.9373939208670113,873,0.011737543084263745,7284,11322,0.00020158525148872286,0.15084601938724518,0.0,0.0,3,False
300,1982,0.7155778436019395,0.5918985709185923,140.92330978809284,301,4,24.349142280524724,18.431272697110327,0.6179506395854392,0.22561142242524398,0.8758186670778959,0.3,1.0,0.6210546570038292,2.065590312815338,13.937436932391524,1748,0.2471779901310028,5002,306,6,555,224,1497,204,29,9558,837,4923,4923,115539,1525856,26092.4921875,3,85,2,0.4983064830303192,0.0,0.04101911187171936,0.0,6310.08203125,514.2529907226562,44.738868713378906,2044.642578125,377.03851318359375,0.017535749822854996,0.8819945454597473,0.49983394145965576,4023.892333984375,0.3314719498157501,1299,1.4583853214246632,0.6954124282322216,0.20892699109062476,0.0,6141,148660,168981,1039,4,6,757,769,190636.828125,0.5824100124255678,0.8412137925215427,0.39921515717124373,0.9734275142953245,0.5834059974627547,123,82,608,0.9715432448616846,1401,0.033844364631915966,7415,17043,0.5548762083053589,0.2511563003063202,0.0,0.0,4,False
400,1990,0.720880273717357,0.5533005110133629,169.89849246231157,401,4,30.999497487437186,19.48051087182966,0.6210818370642581,0.2076652113844503,0.906393245481215,0.4,1.0,0.6231237499496807,2.073366834170854,13.978391959798994,1756,0.24595744227383676,4963,310,6,549,219,1347,202,26,13594,1314,7499,7499,117291,1433959,21207.478515625,3,85,2,0.4983064830303192,0.0,0.052237726747989655,0.0,5247.05712890625,474.8374328613281,42.55159378051758,1887.585693359375,498.7259826660156,0.017491944134235382,0.87898850440979,0.4996113181114197,4023.892333984375,0.3314719498157501,1331,1.4206549513199336,0.6967543727570349,0.21230869931633414,0.0,6065,150545,160818,1100,4,6,945,937,195853.28125,0.5798392597222906,0.8396752990247378,0.4071858103949305,0.9717336683417084,0.6082119935956126,94,76,586,0.9857867124155757,1834,0.034327059622910334,7496,20004,0.1122482493519783,0.2511563003063202,0.0,0.0,3,False
500,1993,0.6820538674975882,0.5668090525838428,171.35173105870547,501,4,32.51530356246864,20.19568294156544,0.5946170466406806,0.2211035126745374,0.9239876775939914,0.5,1.0,0.6015186932449726,2.0551931761164073,13.895132965378826,1760,0.23873925718206926,4926,299,7,704,197,1600,219,31,17980,1792,9934,9934,120566,1696365,17284.85546875,3,85,2,0.4983064830303192,0.0,0.06337173283100128,0.0,4321.30126953125,434.89404296875,40.47125244140625,1742.8150634765625,618.08837890625,0.01744825765490532,0.8759936690330505,0.4994993507862091,4023.892333984375,0.3314719498157501,1320,1.421406373477097,0.6922053531253491,0.22754669518349238,0.0,6123,161043,167201,1099,4,7,1010,1007,190930.09375,0.548691757385956,0.8344481230742158,0.4080397357785364,0.9620588727211905,0.6124135739504576,89,68,544,0.9966221529567352,2351,0.04590748170187038,7504,20939,0.00016266277816612273,0.2511563003063202,0.0,0.0,3,False
600,1994,0.6527482688018893,0.5772780037261767,155.76128385155465,601,4,31.974423269809428,18.126487953862956,0.5632245211843592,0.2597817271195514,0.9363536587735489,0.6,1.0,0.5749527240815318,2.033099297893681,13.68505516549649,1764,0.23758960124761888,4881,308,7,615,254,1257,193,27,22190,2252,12126,12126,117022,1488112,14124.0107421875,3,85,2,0.4983064830303192,0.0,0.07486020773649216,0.0,3533.24658203125,396.0279541015625,38.492610931396484,1609.3636474609375,743.8367309570312,0.017404677346348763,0.8730097413063049,0.4995795488357544,4023.892333984375,0.3314719498157501,1282,1.4611461856832486,0.684625751972315,0.2258961629098025,0.0,5784,160325,167307,1064,4,7,1132,1131,184628.234375,0.5365684137233852,0.8187854998227919,0.3784446939625907,0.9640170511534601,0.6007871313365026,70,58,464,0.9986418190909836,2889,0.05221531955217613,7427,19459,1.4229243651409096e-11,0.1948530226945877,0.0,0.0,2,False
700,1987,0.6400207714012014,0.5593736462790502,155.3371917463513,701,4,33.99496728736789,20.768716287644484,0.5777414676600399,0.24108494735463198,0.9451119109348342,0.7,1.0,0.5920469917210475,2.0920986411675893,13.488676396577755,1765,0.21653744835385158,4947,298,6,584,251,1272,181,26,25881,2741,14208,14208,110463,1197089,11579.9443359375,3,85,2,0.4983064830303192,0.0,0.08635283261537552,0.0,2888.37841796875,359.4000244140625,36.6107177734375,1486.3231201171875,836.0000610351562,0.01736120879650116,0.8700366616249084,0.4998611509799957,4023.892333984375,0.3314719498157501,1191,1.4659301283085975,0.6924719040987618,0.20968176958590015,0.0,5696,152089,167029,983,4,7,971,978,34231.90625,0.5386573988660394,0.8886234882913943,0.49795589468778056,0.9529021976178491,0.5724555457225877,96,55,440,0.9989511284376601,3473,0.04144397914730762,7420,19153,1.2447311494097157e-18,0.24041976034641266,0.6250000000000002,0.0,2,True
800,894,0.3316122078998342,0.42518681950435,217.09731543624162,750,5,31.736017897091724,16.91681764197519,0.7236778285860719,0.1658521783491099,0.9429593880478896,0.8,1.0,0.7363185074399389,2.004474272930649,13.322147651006711,814,0.2177185265836094,2386,176,6,76,39,107,30,2,28205,3094,15784,15784,88699,813454,9808.6953125,3,85,2,0.4983064830303192,0.0,0.09727095067501068,0.0,2381.6240234375,325.56964111328125,34.820823669433594,1372.8935546875,1051.802978515625,0.017317846417427063,0.8670743703842163,0.5002771615982056,4023.892333984375,0.3314719498157501,508,1.4395360860072615,0.7037021915266164,0.24046797490889807,0.0,2560,128963,136852,412,5,7,781,1874,5230.2021484375,0.6290804238724657,0.8955778215452368,0.5852838145825782,0.9926360924683073,0.5029167348669278,18,41,328,0.999622132507401,3968,0.046220047195970275,3429,10023,1.08885336760105e-25,0.24041976034641266,0.33,0.30299004912376404,1,True
900,266,0.32885938149328175,0.44017984047859204,245.9248120300752,770,5,24.289473684210527,14.92235234415286,0.7187493053762425,0.13213990532129227,0.9502384750235758,0.9,1.0,0.7228015912608863,1.6954887218045114,13.157894736842104,244,0.18781766898833438,676,67,6,16,7,19,2,0,28435,3145,16005,16096,28569,91722,9264.0322265625,3,85,2,0.4983064830303192,0.0,0.10890235751867294,0.0,2175.426025390625,294.67352294921875,33.118438720703125,1268.3465576171875,1090.8204345703125,0.01727459207177162,0.8641226887702942,0.500708818435669,4023.892333984375,0.3314719498157501,174,1.361929315429938,0.7048999248906878,0.28332213471989537,0.0,771,43099,23340,153,5,7,140,768,2533.567626953125,0.6117486953315168,0.8818238949093365,0.5624412967302984,0.9855889724310776,0.49028499739634435,1,22,176,1.0,4082,0.038629034222600375,921,2320,1.1089050531154498e-06,0.24041976034641266,0.8300000000000004,0.04018247872591019,3,True
